identifier,display_name,relative_path,deps
core https:/github.com/rust_lang/rust/library/core result/Result/map_err,map_err,src/ristretto.rs,
5.0.0_pre.0 deterministic/determine_curve25519_dalek_bits,determine_curve25519_dalek_bits,build.rs,std https:/github.com/rust_lang/rust/library/std env/var; 5.0.0_pre.0 deterministic/determine_curve25519_dalek_bits_warning; alloc https:/github.com/rust_lang/rust/library/alloc string/String/AsRef/as_ref
mul/arithmetic/lemma_mul_inequality,lemma_mul_inequality,src/backend/serial/u64/scalar_lemmas.rs,
5.0.0_pre.0 field/u64/serial/backend/Add/add,add,src/backend/serial/u64/field.rs,core https:/github.com/rust_lang/rust/library/core arith/ops/SubAssign
5.0.0_pre.0 common_verus/u64/serial/backend/mul_quad_prod,mul_quad_prod,src/backend/serial/u64/common_verus.rs,mul/arithmetic/lemma_mul_is_associative
5.0.0_pre.0 field_lemmas/u64/serial/backend/lemma_as_nat_sub,lemma_as_nat_sub,src/backend/serial/u64/field_lemmas.rs,5.0.0_pre.0 field_lemmas/u64/serial/backend/as_nat; power2/arithmetic/pow2; mul/arithmetic/lemma_mul_is_distributive_sub
5.0.0_pre.0 edwards/CompressedEdwardsY/to_bytes,to_bytes,src/edwards.rs,
5.0.0_pre.0 scalar_lemmas/u64/serial/backend/lemma_mul_internal_no_overflow,lemma_mul_internal_no_overflow,src/backend/serial/u64/scalar_lemmas.rs,
5.0.0_pre.0 common_verus/u64/serial/backend/shift_is_pow2,shift_is_pow2,src/backend/serial/u64/scalar_lemmas.rs,power2/arithmetic/pow2; 5.0.0_pre.0 common_verus/u64/serial/backend/pow2_le_max64
core https:/github.com/rust_lang/rust/library/core marker/Copy,Copy,src/window.rs,
5.0.0_pre.0 field_verus/u64/serial/backend/lemma_reduce,lemma_reduce,src/backend/serial/u64/field_verus.rs,5.0.0_pre.0 field_lemmas/u64/serial/backend/lemma_two_factoring_51; power2/arithmetic/lemma_pow2_adds; 5.0.0_pre.0 field_lemmas/u64/serial/backend/as_nat; 5.0.0_pre.0 field_verus/u64/serial/backend/lemma_boundaries; 5.0.0_pre.0 field_lemmas/u64/serial/backend/p; mul/arithmetic/lemma_mul_is_associative; div_mod/arithmetic/lemma_small_mod; 5.0.0_pre.0 field_verus/u64/serial/backend/spec_reduce; 5.0.0_pre.0 field_verus/u64/serial/backend/l51_bit_mask_lt; power2/arithmetic/pow2; 5.0.0_pre.0 field_verus/u64/serial/backend/lemma_div_and_mod_51; div_mod/arithmetic/lemma_basic_div; mul/arithmetic/lemma_mul_is_distributive_add; mul/arithmetic/lemma_mul_is_distributive_sub_other_way; 5.0.0_pre.0 field_lemmas/u64/serial/backend/pow255_gt_19; 5.0.0_pre.0 common_verus/u64/serial/backend/shift_is_pow2
5.0.0_pre.0 field/FieldElement51/pow22501,pow22501,src/field.rs,5.0.0_pre.0 field/u64/serial/backend/FieldElement51/square; 5.0.0_pre.0 field/u64/serial/backend/FieldElement51/pow2k
alloc https:/github.com/rust_lang/rust/library/alloc string/String/AsRef/as_ref,as_ref,build.rs,
core https:/github.com/rust_lang/rust/library/core default/Default,Default,src/ristretto.rs,
core https:/github.com/rust_lang/rust/library/core arith/ops/Mul,Mul,src/ristretto.rs,
5.0.0_pre.0 ristretto/RistrettoPoint/Sum/sum,sum,src/ristretto.rs,5.0.0_pre.0 ristretto/RistrettoPoint/Identity/identity; core https:/github.com/rust_lang/rust/library/core arith/ops/Neg; core https:/github.com/rust_lang/rust/library/core iterator/traits/iter/Iterator; core https:/github.com/rust_lang/rust/library/core iterator/traits/iter/Iterator/fold
5.0.0_pre.0 scalar/Neg/neg,neg,src/scalar.rs,core https:/github.com/rust_lang/rust/library/core arith/ops/Neg; 5.0.0_pre.0 scalar/u64/serial/backend/Scalar52/mul_internal; 5.0.0_pre.0 scalar/u64/serial/backend/Scalar52/montgomery_reduce; 5.0.0_pre.0 scalar/u64/serial/backend/Scalar52/sub; 5.0.0_pre.0 scalar/Scalar52/pack; 5.0.0_pre.0 scalar/Scalar/unpack
5.0.0_pre.0 field_lemmas/u64/serial/backend/lemma_reorder_mul,lemma_reorder_mul,src/backend/serial/u64/field_lemmas.rs,mul/arithmetic/lemma_mul_is_associative
5.0.0_pre.0 edwards/EdwardsPoint/ConstantTimeEq/ct_eq,ct_eq,src/edwards.rs,5.0.0_pre.0 field/FieldElement51/ConstantTimeEq/ct_eq; core https:/github.com/rust_lang/rust/library/core cmp/PartialEq
seq_lib/Seq/map,map,src/backend/serial/u64/scalar_lemmas.rs,
5.0.0_pre.0 scalar_specs/u64/serial/backend/seq_u64_to_nat,seq_u64_to_nat,src/backend/serial/u64/scalar_lemmas.rs,seq_lib/Seq/map; 5.0.0_pre.0 scalar_specs/u64/serial/backend/seq_to_nat
5.0.0_pre.0 edwards/VartimeEdwardsPrecomputation/VartimePrecomputedMultiscalarMul/len,len,src/edwards.rs,5.0.0_pre.0 backend/VartimePrecomputedStraus/len
core https:/github.com/rust_lang/rust/library/core hash/Hash,Hash,src/montgomery.rs,
5.0.0_pre.0 DalekBits/Display/fmt,fmt,build.rs,
5.0.0_pre.0 ristretto/RistrettoPoint/VartimeMultiscalarMul/optional_multiscalar_mul,optional_multiscalar_mul,src/ristretto.rs,core https:/github.com/rust_lang/rust/library/core collect/traits/iter/IntoIterator; 5.0.0_pre.0 edwards/EdwardsPoint/VartimeMultiscalarMul/optional_multiscalar_mul; core https:/github.com/rust_lang/rust/library/core option/Option/map; core https:/github.com/rust_lang/rust/library/core iterator/traits/iter/Iterator/map; 5.0.0_pre.0 traits/VartimePrecomputedMultiscalarMul; core https:/github.com/rust_lang/rust/library/core borrow/Borrow
